repo,size_kb,size_mb,reason
freeCodeCamp,580996,567,too large to clone (>50MB threshold)
CurriculumExpansion,55536,54,too large to clone (>50MB threshold)
cdn,1331654,1300,too large to clone (>50MB threshold)
i18n-curriculum,286296,280,too large to clone (>50MB threshold)
fcc-images,125246,122,too large to clone (>50MB threshold)
design,124814,122,too large to clone (>50MB threshold)
