month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2025-08,1,147,95637,40358,72233,650.6,274.5,491.4,1
2026-08,1,212,116882,25573,332083,551.3,120.6,1566.4,1
