month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2026-05,1,80,14996,1171,19892,187.4,14.6,248.7,5
2026-07,1,28,477,232,2161,17.0,8.3,77.2,4
