name,size_kb,reason
PySvelte,145,archived
hh-rlhf,28753,archived
toy-models-of-superposition,1111,archived
ConstitutionalHarmlessnessPaper,970,archived
evals,102925,too large (102925KB)
triton,62398,too large (62398KB)
anthropic-tokenizer-typescript,564,archived
DecompositionFaithfulnessPaper,25,archived
claude-cookbooks,216604,too large (216604KB)
anthropic-retrieval-demo,1940,archived
anthropic-bedrock-python,1030,archived
anthropic-bedrock-typescript,274,archived
anthropic-tools,1991,archived
sleeper-agents-paper,703,archived
courses,77457,archived
sycophancy-to-subterfuge-paper,42179,archived
rogue-deploy-eval,51,archived
attribution-graphs-frontend,48,archived
beam,899115,too large (899115KB)
rclone,189392,too large (189392KB)
riv2025-long-horizon-coding-agent-demo,9787,archived
argo-cd,110057,too large (110057KB)
terragrunt,58713,too large (58713KB)
claude-plugins-community,57139,too large (57139KB)
OpenROAD-flow-scripts,901112,too large (901112KB)
xls,84291,too large (84291KB)
fermats-last-theorem,232570,too large (232570KB)
uplifting-biomolecular-modeling,324974,too large (324974KB)
homebrew-claude,0,genuinely empty repo (no commits)
