month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors,net_lines,churn_ratio,files_changed,avg_files_per_commit
2023-04,1,260,134457,81630,9440,517.1,314.0,36.3,22,52827,0.61,1359,5.2
2023-05,1,409,72753,55873,14542,177.9,136.6,35.6,21,16880,0.77,1429,3.5
2023-06,1,212,149520,100942,8212,705.3,476.1,38.7,27,48578,0.68,1568,7.4
2023-07,1,333,57389,24134,10893,172.3,72.5,32.7,23,33255,0.42,1644,4.9
2023-08,1,289,408208,120292,10395,1412.5,416.2,36.0,29,287916,0.29,31167,107.8
2023-09,1,440,107067,74885,17500,243.3,170.2,39.8,129,32182,0.7,1482,3.4
2023-10,1,217,86302,67747,8918,397.7,312.2,41.1,74,18555,0.78,1369,6.3
2023-11,1,192,52274,25886,7809,272.3,134.8,40.7,48,26388,0.5,1299,6.8
2023-12,1,202,72909,64480,9588,360.9,319.2,47.5,57,8429,0.88,1409,7.0
2024-01,1,294,106765,25002,13177,363.1,85.0,44.8,56,81763,0.23,2066,7.0
2024-02,1,213,70753,12090,9481,332.2,56.8,44.5,42,58663,0.17,910,4.3
2024-03,1,230,48715,31757,9966,211.8,138.1,43.3,38,16958,0.65,1452,6.3
2024-04,1,303,38352,20716,12273,126.6,68.4,40.5,38,17636,0.54,1662,5.5
2024-05,1,314,129694,19669,13835,413.0,62.6,44.1,39,110025,0.15,1351,4.3
2024-06,1,234,99024,69564,9674,423.2,297.3,41.3,31,29460,0.7,1267,5.4
2024-07,1,261,34781,21370,11810,133.3,81.9,45.2,40,13411,0.61,1301,5.0
2024-08,1,241,100011,57505,11413,415.0,238.6,47.4,23,42506,0.57,3038,12.6
2024-09,1,225,158249,128100,9788,703.3,569.3,43.5,22,30149,0.81,3084,13.7
2024-10,1,216,152724,27122,9796,707.1,125.6,45.4,32,125602,0.18,1668,7.7
2024-11,1,209,61142,33020,9627,292.5,158.0,46.1,26,28122,0.54,1567,7.5
2024-12,1,209,130180,79596,9806,622.9,380.8,46.9,25,50584,0.61,3431,16.4
2025-01,1,336,205782,93787,14675,612.4,279.1,43.7,41,111995,0.46,2976,8.9
2025-02,1,239,115541,34522,11084,483.4,144.4,46.4,34,81019,0.3,2281,9.5
2025-03,1,289,160949,67913,13534,556.9,235.0,46.8,36,93036,0.42,3300,11.4
2025-04,1,211,161902,112658,9893,767.3,533.9,46.9,23,49244,0.7,2781,13.2
2025-05,1,261,90018,217744,11187,344.9,834.3,42.9,28,-127726,2.42,31843,122.0
2025-06,1,204,117024,88309,9862,573.6,432.9,48.3,31,28715,0.75,1933,9.5
2025-07,1,287,118236,60075,15204,412.0,209.3,53.0,26,58161,0.51,3818,13.3
2025-08,1,267,228476,96822,13208,855.7,362.6,49.5,26,131654,0.42,1963,7.4
2025-09,1,262,108778,44395,14245,415.2,169.4,54.4,21,64383,0.41,2151,8.2
2025-10,1,292,57233,20854,15769,196.0,71.4,54.0,23,36379,0.36,1458,5.0
2025-11,1,209,69207,36754,11040,331.1,175.9,52.8,24,32453,0.53,2190,10.5
2025-12,1,121,36526,10925,7329,301.9,90.3,60.6,27,25601,0.3,938,7.8
2026-01,1,213,210918,19249,13328,990.2,90.4,62.6,24,191669,0.09,1233,5.8
2026-02,1,162,37071,5073,11084,228.8,31.3,68.4,16,31998,0.14,680,4.2
2026-03,1,165,90231,44213,11446,546.9,268.0,69.4,16,46018,0.49,989,6.0
2026-04,1,390,107513,36164,26417,275.7,92.7,67.7,11,71349,0.34,2370,6.1
2026-05,1,388,1233476,226032,29082,3179.1,582.6,75.0,15,1007444,0.18,10322,26.6
2026-06,1,365,417940,767906,28278,1145.0,2103.9,77.5,7,-349966,1.84,10783,29.5
2026-07,1,755,438644,185312,60492,581.0,245.4,80.1,7,253332,0.42,9048,12.0
2026-08,1,1041,592863,349265,84823,569.5,335.5,81.5,11,243598,0.59,10995,10.6
2026-09,1,431,166380,73042,35998,386.0,169.5,83.5,8,93338,0.44,3897,9.0
