repo,size_kb,size_mb,reason
rust,1001403,977,too large to clone (>50MB threshold)
cargo,74649,72,too large to clone (>50MB threshold)
crates.io,67694,66,too large to clone (>50MB threshold)
blog.rust-lang.org,54188,52,too large to clone (>50MB threshold)
crates.io-index,567253,553,too large to clone (>50MB threshold)
rust-clippy,96431,94,too large to clone (>50MB threshold)
libc,52376,51,too large to clone (>50MB threshold)
rustc-perf,84500,82,too large to clone (>50MB threshold)
book,72147,70,too large to clone (>50MB threshold)
rust-analyzer,125759,122,too large to clone (>50MB threshold)
polonius,351784,343,too large to clone (>50MB threshold)
rust-repos,1370094,1337,too large to clone (>50MB threshold)
llvm-project,3631683,3546,too large to clone (>50MB threshold)
zulip_archive,120458,117,too large to clone (>50MB threshold)
gcc,3854224,3763,too large to clone (>50MB threshold)
crates.io-index-archive,9720554,9492,too large to clone (>50MB threshold)
enzyme,113273,110,too large to clone (>50MB threshold)
all-hands-2026,51467,50,too large to clone (>50MB threshold)
