month,repos,commits,insertions,deletions,total_msg_chars,avg_insertions,avg_deletions,avg_msg_length,active_authors
2019-11,1,5,15,16,342,3.0,3.2,68.4,3
2019-12,1,1,98,0,47,98.0,0.0,47.0,1
2020-01,1,3,2,1,747,0.7,0.3,249.0,3
2020-02,1,7,183,52,441,26.1,7.4,63.0,2
2020-03,1,5,76,14,606,15.2,2.8,121.2,3
2020-04,1,6,210,100,1259,35.0,16.7,209.8,5
2020-05,1,16,62,25,1065,3.9,1.6,66.6,5
2020-06,1,32,1693,1401,2738,52.9,43.8,85.6,8
2020-08,1,2,279,279,57,139.5,139.5,28.5,2
2020-09,1,14,150,29,912,10.7,2.1,65.1,4
2020-11,1,17,72,40,1091,4.2,2.4,64.2,4
2020-12,1,2,155,33,64,77.5,16.5,32.0,2
2021-01,1,5,11,12,306,2.2,2.4,61.2,2
2021-02,1,3,3,3,120,1.0,1.0,40.0,2
2021-03,1,2,63,21,328,31.5,10.5,164.0,1
2021-04,1,2,1,0,145,0.5,0.0,72.5,2
2021-05,1,2,44,1,195,22.0,0.5,97.5,2
2021-06,1,9,142,4,580,15.8,0.4,64.4,2
2021-07,1,10,187,29,640,18.7,2.9,64.0,5
2021-08,1,6,103,24,341,17.2,4.0,56.8,4
2021-09,1,8,52,17,1696,6.5,2.1,212.0,4
2021-10,1,33,846,101,2021,25.6,3.1,61.2,3
2021-11,1,4,151,0,349,37.8,0.0,87.2,3
2022-01,1,23,4346,4128,2574,189.0,179.5,111.9,4
2022-02,1,19,212,59,2038,11.2,3.1,107.3,7
2022-03,1,3,138,10,292,46.0,3.3,97.3,3
2022-04,1,3,38,1,182,12.7,0.3,60.7,2
2022-05,1,1,8,1,69,8.0,1.0,69.0,1
2022-06,1,8,25,9,1624,3.1,1.1,203.0,3
2022-07,1,2,6,1,106,3.0,0.5,53.0,1
2022-08,1,97,3556,7328,6737,36.7,75.5,69.5,7
2022-09,1,23,93,245,2438,4.0,10.7,106.0,6
2022-11,1,8,157,21,555,19.6,2.6,69.4,4
2022-12,1,1,0,0,116,0.0,0.0,116.0,1
2023-01,1,6,9,6,421,1.5,1.0,70.2,1
2023-02,1,3,5,0,177,1.7,0.0,59.0,2
