repo,size_kb,size_mb,reason
tensorflow,1383891,1351,too large to clone (>50MB threshold)
models,660290,644,too large to clone (>50MB threshold)
tensorboard,123880,120,too large to clone (>50MB threshold)
tpu,70628,68,too large to clone (>50MB threshold)
probability,155264,151,too large to clone (>50MB threshold)
tfjs,174320,170,too large to clone (>50MB threshold)
tfjs-examples,87194,85,too large to clone (>50MB threshold)
tfjs-models,175854,171,too large to clone (>50MB threshold)
docs,133978,130,too large to clone (>50MB threshold)
lingvo,149173,145,too large to clone (>50MB threshold)
datasets,999142,975,too large to clone (>50MB threshold)
io,54270,52,too large to clone (>50MB threshold)
tfx,247121,241,too large to clone (>50MB threshold)
java,56853,55,too large to clone (>50MB threshold)
docs-l10n,213898,208,too large to clone (>50MB threshold)
tflite-support,150482,146,too large to clone (>50MB threshold)
mlir-hlo,63420,61,too large to clone (>50MB threshold)
codelabs,120379,117,too large to clone (>50MB threshold)
flutter-tflite,201257,196,too large to clone (>50MB threshold)
